icao,iata,name,city,country,lat,lon,airport_type,scheduled_service,runway_length_ft
RPSP,TAG,Bohol-Panglao International Airport,Panglao,Philippines,9.573045,123.770143,large_airport,true,8202
RPSV,SWL,San Vicente Airport,San Vicente,Philippines,10.524298,119.272899,small_airport,true,5915
RPUA,,Pamalican Airstrip,Agutaya,Philippines,11.35946,120.72668,small_airport,false,0
RPUB,BAG,Loakan Airport,Baguio,Philippines,16.375034,120.619949,medium_airport,false,5912
RPUD,DTE,Daet Airport,Daet,Philippines,14.1292,122.980003,medium_airport,false,3773
RPUE,,Semirara Airport,Caluya,Philippines,12.07522,121.38847,small_airport,false,0
RPUF,,Basa Air Base,Floridablanca,Philippines,14.98724,120.492554,small_airport,false,8433
RPUG,,Lingayen Airport,Lingayen,Philippines,16.034966,120.242191,small_airport,false,3422
RPUH,SJI,San Jose Airport,San Jose,Philippines,12.361499786399998,121.04699707,medium_airport,true,6024
RPUI,,Iba Airport,Iba,Philippines,15.325898,119.968517,small_airport,false,2970
RPUJ,,Castillejos - Jesus F Magsaysay Airfield,Castillejos,Philippines,14.94634,120.190194,small_airport,false,0
RPUK,,Calapan National Airport,Calapan,Philippines,13.422641,121.201687,small_airport,false,0
RPUL,,Basilio Fernando Air Base,Lipa,Philippines,13.955,121.125,small_airport,false,4953
RPUM,MBO,Mamburao Airport,Mamburao,Philippines,13.208048,120.605457,medium_airport,false,4265
RPUN,WNP,Naga Airport,Naga,Philippines,13.58489990234375,123.2699966430664,medium_airport,true,4599
RPUO,BSO,Basco Airport,Basco,Philippines,20.4513,121.980003,medium_airport,true,4101
RPUP,,Jose Panganiban (Larap) Airstrip,Larap,Philippines,14.293288,122.645659,small_airport,false,0
RPUQ,,Vigan Airport,Vigan City,Philippines,17.555299758911133,120.35600280761719,small_airport,false,3890
RPUR,BQA,Dr. Juan C. Angara Airport,Baler,Philippines,15.729309,121.500034,medium_airport,false,3937
RPUS,SFE,San Fernando Airport,San Fernando,Philippines,16.5956,120.303001,medium_airport,false,3937
RPUT,TUG,Tuguegarao Airport,Tuguegarao City,Philippines,17.6433676823,121.733150482,medium_airport,true,6455
RPUU,,Bulan Airport,Bulan,Philippines,12.6842,123.877998,small_airport,false,0
RPUV,VRC,Virac Airport,Virac,Philippines,13.576399803161621,124.20600128173828,medium_airport,true,5118
RPUW,MRQ,Marinduque Airport,Gasan,Philippines,13.361000061035156,121.82599639892578,medium_airport,false,4785
RPUX,,Plaridel Airport,Plaridel,Philippines,14.890855,120.852914,small_airport,false,2953
RPUY,CYZ,Cauayan Airport,Cauayan City,Philippines,16.9298992157,121.752998352,medium_airport,true,6890
RPUZ,,Bagabag Airport,,Philippines,16.6192,121.251999,small_airport,false,3937
RPVA,TAC,Daniel Z. Romualdez Airport,Tacloban City,Philippines,11.227761,125.027783,medium_airport,true,7014
RPVB,BCD,Bacolod-Silay International Airport,Bacolod City,Philippines,10.776237,123.018879,large_airport,true,6562
RPVC,CYP,Calbayog Airport,Calbayog City,Philippines,12.072574,124.54508,medium_airport,true,4843
RPVD,DGT,Sibulan Airport,Dumaguete City,Philippines,9.334183,123.30191,medium_airport,true,6220
RPVE,MPH,Godofredo P. Ramos Airport,Caticlan,Philippines,11.9245,121.954002,medium_airport,true,5905
RPVF,CRM,Catarman National Airport,Catarman,Philippines,12.50161,124.635258,medium_airport,true,4429
RPVG,,Guiuan Airport,Guiuan,Philippines,11.0354995728,125.741996765,small_airport,false,7919
RPVH,,Hilongos Airport,Hilongos,Philippines,10.37567,124.7611,small_airport,false,0
RPVI,ILO,Iloilo International Airport,Cabatuan,Philippines,10.833017,122.493358,large_airport,true,8202
RPVJ,MBT,Moises R. Espinosa Airport,Masbate,Philippines,12.369682,123.630095,medium_airport,true,4199
RPVK,KLO,Kalibo International Airport,Kalibo,Philippines,11.6794,122.375999,large_airport,true,7175
RPVM,CEB,Mactan Cebu International Airport,Cebu City/Lapu-Lapu City,Philippines,10.309261,123.97974,large_airport,true,10860
RPVO,OMC,Ormoc Airport,Ormoc City,Philippines,11.057715,124.565622,medium_airport,false,6120
RPVP,PPS,Puerto Princesa International Airport / PAF Antonio Bautista Air Base,Puerto Princesa,Philippines,9.742044,118.75911,large_airport,true,8530
RPVQ,,Biliran Airport,,Philippines,11.5159178299,124.428985119,small_airport,false,0
RPVR,RXS,Roxas Airport,Roxas City,Philippines,11.597700119018555,122.75199890136719,medium_airport,true,6201
RPVS,EUQ,Evelio Javier Airport,San Jose,Philippines,10.766644,121.932506,medium_airport,false,3937
RPVU,TBH,Tugdan Airport,Tablas Island,Philippines,12.3109998703,122.084999084,medium_airport,true,4560
RPVV,USU,Francisco B. Reyes (Busuanga) Airport,Coron,Philippines,12.121865,120.100801,medium_airport,true,3300
RPVW,BPA,Borongan Airport,Borongan City,Philippines,11.674262,125.479259,small_airport,false,3935
RPVY,,Catbalogan Airport,Catbalogan,Philippines,11.810647,124.828806,small_airport,false,0
RPVZ,,Siquijor Airport,Siquijor,Philippines,9.208585,123.466976,small_airport,false,0
SAAA,,San Antonio de Areco Airport,San Antonio de Areco,Argentina,-34.2214,-59.4422,small_airport,false,0
SAAC,COC,Comodoro Pierrestegui Airport,Concordia,Argentina,-31.2969,-57.9966,medium_airport,false,5249
SAAG,GHU,Gualeguaychu Airport,Gualeguaychu,Argentina,-33.005567,-58.612833,medium_airport,false,4364
SAAI,,Punta Indio Naval Air Base,Veronica,Argentina,-35.353298,-57.290001,small_airport,false,0
SAAK,,Isla Martin Garcia Airport,Isla Martin Garcia,Argentina,-34.1821,-58.2469,small_airport,false,4150
SAAN,,Pergamino Airport,Pergamino,Argentina,-33.919,-60.648,small_airport,false,3937
SAAP,PRA,General Urquiza Airport,Parana,Argentina,-31.7948,-60.4804,medium_airport,true,6890
SAAR,ROS,Rosario Islas Malvinas International Airport,Rosario,Argentina,-32.9036,-60.785,large_airport,true,9842
SAAU,,Villaguay Airport,Villaguay,Argentina,-31.855,-59.0756,small_airport,false,3904
SAAV,SFN,Sauce Viejo Airport,Santa Fe,Argentina,-31.7117,-60.8117,medium_airport,true,7628
SABE,AEP,Aeroparque Jorge Newbery,Buenos Aires,Argentina,-34.559419,-58.415536,large_airport,true,7710
SACA,,Captain D Omar Darío Gelardi Airport,Córdoba,Argentina,-31.4419,-64.258202,small_airport,false,4232
SACC,LCM,La Cumbre Airport,La Cumbre,Argentina,-31.0058,-64.531898,small_airport,false,4101
SACD,,Coronel Olmedo Airport,Cordoba,Argentina,-31.487499,-64.141403,small_airport,false,3806
SACE,,Escuela de Aviación Militar (Military Aviation School) Airport,Córdoba,Argentina,-31.444223,-64.283377,small_airport,false,5134
SACI,,Pilar Airport,Pilar,Argentina,-31.6819992065,-63.863800048799995,small_airport,false,0
SACL,,Laguna Larga Airport,Laguna Larga,Argentina,-31,-63,small_airport,false,0
SACM,,Villa General Mitre Airport,Villa General Mitre,Argentina,-30.7006,-64.043098,small_airport,false,0
SACN,,Ascochinga Airport,Ascochinga,Argentina,-30.96792,-64.27774,small_airport,false,0
SACO,COR,Ingeniero Aeronáutico Ambrosio L.V. Taravella International Airport,Cordoba,Argentina,-31.312346,-64.208329,large_airport,true,10499
SACQ,,Monte Quemado Airport,Monte Quemado,Argentina,-25.783563,-62.82884,small_airport,false,0
SACS,,Villa De Soto Airport,Villa de Soto,Argentina,-30.875419,-64.99288,small_airport,false,0
SACT,,Chamical Airport,Gobernador Gordillo,Argentina,-30.345303,-66.294072,medium_airport,false,6726
SACV,,Villa Maria Airport,Villa Maria del Rio Seco,Argentina,-32.389400482199996,-63.2585983276,small_airport,false,3609
SADF,,San Fernando Airport,San Fernando,Argentina,-34.4532,-58.5896,medium_airport,false,5909
SADJ,,Mariano Moreno Airport,General Sarmiento,Argentina,-34.5606,-58.7896,small_airport,false,0
SADL,LPG,La Plata Airport,La Plata,Argentina,-34.9722,-57.8947,medium_airport,false,4682
SADM,,Morón Airport,Morón,Argentina,-34.6763,-58.6428,small_airport,false,9350
SADO,,Campo de Mayo Military Airport,Campo de Mayo,Argentina,-34.5344,-58.6717,small_airport,false,5905
SADP,EPA,El Palomar Airport,El Palomar,Argentina,-34.6099,-58.6126,medium_airport,false,6923
SADQ,,Quilmes Airport,Quilmes,Argentina,-34.7064,-58.2444,small_airport,false,3281
SADZ,,Matanza Airport,La Matanza,Argentina,-34.728367,-58.500855,small_airport,false,3396
SAEA,,General Acha Airport,General Acha,Argentina,-37.400799,-64.612801,small_airport,false,2953
SAEL,,Las Flores Airport,Las Flores,Argentina,-36.0672,-59.1042,small_airport,false,3609
SAET,,Ñanco Lauquen Airport,Trenque Lauquen,Argentina,-35.9715,-62.7724,small_airport,false,3934
SAEZ,EZE,Ezeiza International Airport - Ministro Pistarini,Buenos Aires (Ezeiza),Argentina,-34.8222,-58.5358,large_airport,true,10827
SAFR,RAF,Rafaela Airport,Rafaela,Argentina,-31.2825,-61.5017,small_airport,false,3691
SAFS,NCJ,Sunchales Aeroclub Airport,Sunchales,Argentina,-30.9575,-61.5283,small_airport,false,6562
SAFV,,Venado Tuerto Airport,Venado Tuerto,Argentina,-33.6818,-61.9564,small_airport,false,4921
SAHC,HOS,Chos Malal Airport,Chos Malal,Argentina,-37.444698,-70.222504,small_airport,false,4921
SAHE,CVH,Caviahue Airport,Lafontaine,Argentina,-37.851398,-71.009201,small_airport,false,5249
SAHR,GNR,Dr. Arturo H. Illia Airport,General Roca,Argentina,-39.000702,-67.620499,small_airport,false,7073
SAHS,RDS,Rincon De Los Sauces Airport,Rincon de los Sauces,Argentina,-37.390598,-68.904198,medium_airport,false,4921
SAHZ,APZ,Zapala Airport,Zapala,Argentina,-38.975498,-70.113602,medium_airport,false,7218
SAMA,,General Alvear Airport,General Alvear,Argentina,-35.058899,-67.692802,small_airport,false,4921
SAMC,,Cristo Redentor Airport,Cristo Redentor,Argentina,-32.807300567599995,-70.06819915770001,small_airport,false,0
SAME,MDZ,Governor Francisco Gabrielli International Airport,Mendoza,Argentina,-32.831699,-68.7929,large_airport,true,9301
SAMH,,Valle Hermoso Airport,Valle Hermoso,Argentina,-35.1461982727,-70.2053985596,small_airport,false,0
SAMJ,,Jachal Airport,Jachal,Argentina,-30.248242,-68.764791,small_airport,false,0
SAML,,Punta De Vacas Airport,Punta de Vacas,Argentina,-32.854599,-69.760498,small_airport,false,0
SAMM,LGS,Comodoro D.R. Salomón Airport,Malargue,Argentina,-35.493599,-69.574303,medium_airport,false,8694
SAMQ,,Mendoza Airpark,Mendoza,Argentina,-32.8652992249,-68.87190246579999,small_airport,false,0
SAMR,AFA,Suboficial Ay Santiago Germano Airport,San Rafael,Argentina,-34.588299,-68.4039,medium_airport,true,6923
SAMS,,San Carlos Airport,San Carlos,Argentina,-33.7757,-69.053703,small_airport,false,0
SAMU,,Uspallata Airport,Uspallata,Argentina,-32.538898,-69.345802,small_airport,false,0
SANC,CTC,Coronel Felipe Varela International Airport,Catamarca,Argentina,-28.593117,-65.7512,medium_airport,true,9186
SANE,SDE,Vicecomodoro Angel D. La Paz Aragonés Airport,Santiago del Estero,Argentina,-27.765556335399996,-64.3099975586,medium_airport,true,7946
SANH,,Las Termas Airport,Rio Hondo,Argentina,-27.4737,-64.905502,small_airport,false,0
SANL,IRJ,Capitan V A Almonacid Airport,La Rioja,Argentina,-29.381599,-66.795799,medium_airport,true,9383
SANO,,Chilecito Airport,Chilecito,Argentina,-29.2239,-67.438904,small_airport,false,6890
SANR,RHD,Termas de Río Hondo international Airport,Termas de Río Hondo,Argentina,-27.4966,-64.93595,medium_airport,true,8232
SANT,TUC,Teniente Benjamín Matienzo International Airport,San Miguel de Tucumán,Argentina,-26.837397,-65.104195,large_airport,true,11483
SANU,UAQ,Domingo Faustino Sarmiento Airport,San Juan,Argentina,-31.571501,-68.418198,medium_airport,true,8071
SANW,CRR,Ceres Airport,Ceres,Argentina,-29.872292,-61.927925,small_airport,false,4429
SAOC,RCU,Area De Material Airport,Rio Cuarto,Argentina,-33.085098,-64.261299,medium_airport,false,7431
SAOD,VDR,Villa Dolores Airport,Villa Dolores,Argentina,-31.9452,-65.146301,medium_airport,false,4593
SAOE,,Rio Tercero Airport,Rio Tercero,Argentina,-32.173302,-64.088303,small_airport,false,3182
SAOL,,La Quiaca Airport,La Quiaca,Argentina,-22.165264,-65.569918,small_airport,false,8769
SAOM,,Marcos Juarez Airport,Marcos Juarez,Argentina,-32.6836,-62.157801,small_airport,false,3937
SAOR,VME,Villa Reynolds Airport,Villa Mercedes,Argentina,-33.7299003601,-65.3873977661,medium_airport,false,7874
SAOS,RLO,Valle Del Conlara International Airport,Merlo,Argentina,-32.384701,-65.186501,small_airport,false,8366
SAOU,LUQ,Brigadier Mayor D Cesar Raul Ojeda Airport,San Luis,Argentina,-33.273201,-66.3564,medium_airport,true,9678
SAOV,,Presidente Néstor Kirchner Regional Airport,Villa Maria,Argentina,-32.3201,-63.22663,medium_airport,true,0
SARC,CNQ,Corrientes Airport,Corrientes,Argentina,-27.4455,-58.7619,medium_airport,true,6890
SARE,RES,Resistencia International Airport,Resistencia,Argentina,-27.44991,-59.056125,large_airport,true,9088
SARF,FMA,Formosa National Airport,Formosa,Argentina,-26.2127,-58.2281,medium_airport,true,5905
SARG,,Caa Cati Airport,General Paz,Argentina,-27.755300521900004,-57.6329994202,small_airport,false,0
SARI,IGR,Cataratas Del Iguazú International Airport,Puerto Iguazu,Argentina,-25.737301,-54.4734,medium_airport,true,10827
SARL,AOL,Paso De Los Libres Airport,Paso de los Libres,Argentina,-29.6894,-57.1521,medium_airport,false,7415
SARM,MCS,Monte Caseros Airport,Monte Caseros,Argentina,-30.2719,-57.6402,medium_airport,false,4323
SARP,PSS,Libertador Gral D Jose De San Martin Airport,Posadas,Argentina,-27.3858,-55.9707,medium_airport,true,7388
SARS,PRQ,Termal Airport,Presidencia Roque Sáenz Peña,Argentina,-26.753611,-60.492222,small_airport,false,5905
SARV,,Villa Angela Airport,Villa Angela,Argentina,-27.5915,-60.6864,small_airport,false,3937
SASA,SLA,Martín Miguel de Güemes International Airport,Salta,Argentina,-24.856001,-65.486198,large_airport,true,9842
SASJ,JUJ,Gobernador Horacio Guzman International Airport,San Salvador de Jujuy,Argentina,-24.392799,-65.097801,large_airport,true,9698
SASL,,Salar De Cauchari Airport,Salar de Cauchari,Argentina,-23.785356,-66.751937,small_airport,false,0
SASO,ORA,Orán Airport,Orán,Argentina,-23.1528,-64.329201,medium_airport,false,4839
SASQ,,Laboulaye Airport,Laboulaye,Argentina,-34.135399,-63.362301,small_airport,false,8858
SASR,,Rivadavia Airport,Rivadavia,Argentina,-24.185927,-62.862353,small_airport,false,0
SAST,TTG,General Enrique Mosconi Airport,Tartagal,Argentina,-22.616877,-63.793015,medium_airport,false,4921
SATC,CLX,Aeródromo de Clorinda,Clorinda,Argentina,-25.3036,-57.7344,small_airport,false,3937
SATD,ELO,El Dorado Airport,El Dorado,Argentina,-26.397499,-54.574699,small_airport,false,4695
SATG,OYA,Goya Airport,Goya,Argentina,-29.1058,-59.2189,medium_airport,false,7415
SATI,,Bernardo de Irigoyen Airport,Bernardo de Irigoyen,Argentina,-26.281458,-53.672578,small_airport,false,2297
SATK,LLS,Alferez Armando Rodriguez Airport,Las Lomitas,Argentina,-24.721399,-60.548801,small_airport,false,0
SATM,MDX,Mercedes Airport,Mercedes,Argentina,-29.221399,-58.087799,small_airport,false,5909
SATO,,Oberá Airport,Oberá,Argentina,-27.5182,-55.124199,small_airport,false,5905
