typecode,engines,body_class,model_name
AS21,1,ga,SCHLEICHER ASK-21Mi
AS22,1,ga,SCHLEICHER ASW-22M
AS24,1,ga,SCHLEICHER ASW-24E
AS25,1,ga,SCHLEICHER ASH-25M
AS26,1,ga,SCHLEICHER ASH-26E
AS28,1,ga,SCHLEICHER ASW-28E
AS29,1,ga,SCHLEICHER ASG-29E
AS2T,1,ga,FFA AS-202-32TP Turbine Bravo
AS30,1,ga,SCHLEICHER ASH-30Mi
AS31,1,ga,SCHLEICHER ASH-31Mi
AS32,2,heli,AEROSPATIALE AS-532 Cougar
AS3B,2,heli,AEROSPATIALE AS-532A2 Cougar Mk2
AS50,1,heli,AEROSPATIALE AS-350 Ecureuil
AS55,2,heli,AEROSPATIALE AS-355 Ecureuil 2
AS65,2,heli,AEROSPATIALE AS-365 Dauphin 2
AS80,1,ga,STARCK AS-80 Holiday
ASO4,1,ga,ASSO AEREI Asso 4 Whisky
ASO5,1,ga,ASSO AEREI Asso 5 Champion
ASOX,1,ga,ASSO AEREI Asso 10 Jewel
ASTO,1,ga,TECNAM Astore
ASTR,2,narrowbody,IAI 1125 Astra
AT2P,1,ga,AIR TRACTOR AT-250
AT3,2,narrowbody,AIDC AT-3 Tzu-Chung
AT3P,1,ga,AIR TRACTOR AT-300
AT3T,1,ga,AIR TRACTOR AT-302
AT43,2,regional,ATR ATR-42-300
AT44,2,regional,ATR ATR-42-400
AT45,2,regional,ATR ATR-42-500
AT46,2,regional,ATR ATR-42-600
AT5P,1,ga,AIR TRACTOR AT-501
AT5T,1,ga,AIR TRACTOR AT-502
AT6T,1,ga,AIR TRACTOR AT-602
AT72,2,regional,ATR ATR-72-201
AT73,2,regional,ATR ATR-72-211
AT75,2,regional,ATR ATR-72-212A (500)
AT76,2,regional,ATR ATR-72-212A (600)
AT8T,1,ga,AIR TRACTOR AT-802
ATAC,1,ga,AIRCRAFT TECHNOLOGIES Acro 1
ATG1,2,narrowbody,ATG ATG-1 Javelin
ATIS,1,ga,AIRCRAFT TECHNOLOGIES Atlantis
ATL,1,ga,ROBIN ATL
ATLA,2,regional,DASSAULT Atlantique 2
ATP,2,regional,BRITISH AEROSPACE ATP
AU11,1,ga,BEAGLE-AUSTER Auster AOP11
AUJ2,1,ga,AUSTER J-2 Arrow
AUJ4,1,ga,AUSTER J-4 Archer
AURA,1,ga,SUNWARD SA60 Aurora
AUS3,1,ga,TAYLORCRAFT (2) Auster 3
